Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
MPW2000W,2024-12-16-10-03-39,1,single,color,True,1,1.549,-40,-36.0,1s,True,target,7.156,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,2,0.895,-55,-25.5,s2,False,target,1.068,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,3,0.58,-35,-30.5,2p,False,distractor,2.269,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,4,0.989,-60,-25.4,p2,True,target,1.068,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,5,0.873,-25,-58.5,1p,False,distractor,1.151,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,6,0.834,-65,-49.3,2s,True,target,1.902,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,7,0.784,-45,-44.9,s1,False,distractor,1.418,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,8,0.683,-30,-30.2,p1,True,target,0.717,,
MPW2000W,2024-12-16-10-03-39,1,single,color,True,9,0.744,-50,-49.2,1s,True,target,1.601,,
MPW2000W,2024-12-16-10-03-39,2,single,random,False,1,1.878,25,37.4,2s,True,target,1.601,37.4,1.885
MPW2000W,2024-12-16-10-03-39,2,single,random,False,2,0.927,65,38.0,p2,True,target,1.601,63.0,25.338
MPW2000W,2024-12-16-10-03-39,2,single,random,False,3,0.76,60,29.4,s2,False,target,1.601,51.4,4.287
MPW2000W,2024-12-16-10-03-39,2,single,random,False,4,0.603,50,41.4,2p,False,target,1.601,45.4,3.72
MPW2000W,2024-12-16-10-03-39,2,single,random,False,5,0.861,45,49.0,p1,True,target,1.601,49.0,3.103
MPW2000W,2024-12-16-10-03-39,2,single,random,False,6,0.577,35,49.7,s1,False,target,1.601,53.7,4.687
MPW2000W,2024-12-16-10-03-39,2,single,random,False,7,0.523,55,47.2,1p,False,target,1.601,47.2,2.752
MPW2000W,2024-12-16-10-03-39,2,single,random,False,8,0.883,30,40.9,2s,True,target,1.601,35.9,3.753
MPW2000W,2024-12-16-10-03-39,2,single,random,False,9,0.683,40,29.3,p1,True,target,1.601,41.3,3.386
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,1,1.888,-25,-33.3,1s,True,target,1.601,-37.3,3.086
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,2,0.85,-30,-54.7,p2,True,target,1.601,-41.7,3.503
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,3,0.855,-35,-49.4,s1,False,target,1.601,-42.4,2.586
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,4,0.885,-40,-39.3,2p,False,target,1.601,-36.3,1.602
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,5,0.552,-45,-45.1,s2,False,target,1.601,-46.1,1.985
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,6,0.502,-50,-37.4,1p,False,target,1.601,-44.4,3.086
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,7,0.545,-55,-31.9,p1,True,target,1.601,-56.9,3.553
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,8,0.508,-60,-30.0,p2,True,target,1.601,-64.0,4.471
MPW2000W,2024-12-16-10-03-39,3,single,descending,True,9,0.909,-65,-26.5,2p,False,target,1.601,-71.5,4.787
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,1,1.551,25,49.5,2s,True,target,1.601,35.5,3.555
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,2,0.921,30,54.3,1s,True,target,1.601,27.3,3.436
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,3,0.547,35,47.8,1p,False,target,1.601,26.8,3.536
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,4,0.732,40,55.8,s1,False,target,1.601,28.8,2.803
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,5,0.973,45,63.1,s2,False,target,1.601,30.1,3.653
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,6,0.63,50,34.4,2p,False,target,1.601,38.4,2.252
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,7,0.539,55,43.8,p1,True,target,1.601,52.8,1.935
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,8,0.501,60,46.4,1s,True,target,1.601,46.4,0.951
MPW2000W,2024-12-16-10-03-39,4,single,ascending,False,9,0.508,65,63.7,p2,True,target,1.601,52.7,2.269
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,1,1.743,-25,-29.3,s2,False,distractor,6.456,-48.3,8.757
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,2,0.939,-30,-35.3,2s,True,target,4.404,48.7,8.557
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,3,0.815,-35,-47.8,1p,False,distractor,6.255,-53.8,2.902
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,4,0.684,-40,-30.1,s1,False,target,4.054,-47.1,3.686
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,5,0.82,-45,-49.6,1s,True,target,3.187,-66.6,4.904
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,6,0.526,-50,-56.2,p1,True,target,2.636,-48.2,2.986
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,7,0.774,-55,-51.9,s1,False,distractor,2.569,44.1,10.509
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,8,0.688,-60,-56.2,s2,False,distractor,3.47,-60.2,2.602
MPW2000W,2024-12-16-10-03-39,5,dual,descending,True,9,0.969,-65,-64.1,2p,False,distractor,3.636,-67.1,2.402
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,1,1.608,25,31.5,1p,False,distractor,3.119,45.5,3.636
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,2,0.6,30,31.2,p2,True,distractor,4.554,45.2,2.969
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,3,0.804,35,51.2,2s,True,distractor,11.677,41.2,3.603
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,4,0.763,40,56.7,p2,True,target,10.159,37.7,3.303
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,5,0.565,45,46.7,2p,False,target,3.903,39.7,3.52
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,6,0.605,50,48.8,s1,False,distractor,2.936,35.8,4.787
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,7,0.628,55,34.1,1p,False,target,9.024,48.1,3.136
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,8,0.725,60,56.0,p1,True,target,2.269,47.0,1.668
MPW2000W,2024-12-16-10-03-39,6,dual,ascending,False,9,0.678,65,32.6,1s,True,target,1.952,46.6,2.836
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,1,1.973,-65,-63.4,2s,True,target,2.736,-52.4,3.753
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,2,0.529,-50,-44.0,s2,False,target,7.173,-52.0,2.169
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,3,0.996,-55,-40.4,s1,False,distractor,3.403,-55.4,2.869
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,4,0.838,-45,-38.6,s2,False,distractor,3.62,-56.6,2.902
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,5,0.859,-60,-33.3,2s,True,target,2.202,-57.3,3.203
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,6,0.56,-35,-30.9,p1,True,target,1.985,-57.9,3.987
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,7,0.787,-25,-57.6,2p,False,distractor,1.718,-47.6,5.788
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,8,0.602,-30,-25.2,1p,False,distractor,2.886,-43.2,3.803
MPW2000W,2024-12-16-10-03-39,7,dual,random,True,9,0.826,-40,-65.0,1s,True,target,3.136,-40.0,4.32
MPW2000W,2024-12-16-10-03-39,8,single,random,False,1,1.93,40,29.2,p2,True,target,3.136,45.2,3.069
MPW2000W,2024-12-16-10-03-39,8,single,random,False,2,0.778,35,26.4,2p,False,target,3.136,40.4,2.686
MPW2000W,2024-12-16-10-03-39,8,single,random,False,3,0.956,45,63.7,1p,False,target,3.136,44.7,3.069
MPW2000W,2024-12-16-10-03-39,8,single,random,False,4,0.773,25,40.7,s1,False,target,3.136,27.7,2.686
MPW2000W,2024-12-16-10-03-39,8,single,random,False,5,0.932,30,48.1,p2,True,target,3.136,33.1,2.919
MPW2000W,2024-12-16-10-03-39,8,single,random,False,6,0.953,50,62.5,1s,True,target,3.136,38.5,2.185
MPW2000W,2024-12-16-10-03-39,8,single,random,False,7,0.57,65,35.3,s2,False,target,3.136,53.3,2.502
MPW2000W,2024-12-16-10-03-39,8,single,random,False,8,0.628,55,41.9,2s,True,target,3.136,57.9,1.985
MPW2000W,2024-12-16-10-03-39,8,single,random,False,9,0.883,60,31.8,p1,True,target,3.136,55.8,3.12
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,1,1.821,-65,-25.5,2p,False,target,3.136,-61.5,3.753
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,2,0.745,-60,-39.5,p2,True,target,3.136,-64.5,2.152
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,3,0.771,-55,-53.6,p1,True,target,3.136,-64.6,1.752
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,4,0.9,-50,-39.1,s1,False,target,3.136,-53.1,2.886
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,5,0.594,-45,-37.8,1p,False,target,3.136,-53.8,1.902
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,6,0.959,-40,-53.2,2s,True,target,3.136,-52.2,1.768
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,7,0.972,-35,-51.4,s2,False,target,3.136,-42.4,2.035
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,8,0.578,-30,-40.3,1s,True,target,3.136,-32.3,1.435
MPW2000W,2024-12-16-10-03-39,9,single,ascending,True,9,0.7,-25,-25.4,2p,False,target,3.136,-21.4,1.185
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,1,1.996,65,26.9,1s,True,target,3.136,51.9,3.52
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,2,0.76,60,26.8,p2,True,target,3.136,59.8,2.602
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,3,0.949,55,30.3,2s,True,target,3.136,63.3,2.803
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,4,0.898,50,48.0,s2,False,target,3.136,58.0,1.451
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,5,0.595,45,46.0,s1,False,target,3.136,36.0,1.134
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,6,0.809,40,52.0,p1,True,target,3.136,40.0,1.768
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,7,0.735,35,63.4,1p,False,target,3.136,34.4,2.185
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,8,0.601,30,48.4,1p,False,target,3.136,31.4,1.535
MPW2000W,2024-12-16-10-03-39,10,single,descending,False,9,0.937,25,52.6,s1,False,target,3.136,27.6,1.818
MPW2000W,2024-12-16-10-03-39,11,single,random,True,1,1.785,-35,-38.9,s2,False,target,3.136,-44.9,1.034
MPW2000W,2024-12-16-10-03-39,11,single,random,True,2,0.693,-40,-41.8,p2,True,target,3.136,-46.8,0.868
MPW2000W,2024-12-16-10-03-39,11,single,random,True,3,0.909,-30,-58.0,2p,False,target,3.136,-39.0,2.819
MPW2000W,2024-12-16-10-03-39,11,single,random,True,4,0.782,-55,-62.2,p1,True,target,3.136,-42.2,3.103
MPW2000W,2024-12-16-10-03-39,11,single,random,True,5,0.827,-60,-57.3,2s,True,target,3.136,-57.3,1.151
MPW2000W,2024-12-16-10-03-39,11,single,random,True,6,0.746,-45,-43.2,1s,True,target,3.136,-58.2,2.719
MPW2000W,2024-12-16-10-03-39,11,single,random,True,7,0.611,-65,-36.8,p2,True,target,3.136,-62.8,2.202
MPW2000W,2024-12-16-10-03-39,11,single,random,True,8,0.575,-50,-27.9,s1,False,target,3.136,-58.9,3.019
MPW2000W,2024-12-16-10-03-39,11,single,random,True,9,0.535,-25,-27.6,2p,False,target,3.136,-50.6,3.536
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,1,1.803,65,62.6,2s,True,distractor,3.92,40.6,2.485
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,2,0.654,60,56.4,s2,False,distractor,5.154,39.4,2.002
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,3,0.692,55,62.6,1s,True,target,1.902,39.6,2.268
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,4,0.741,50,39.3,p1,True,target,2.285,51.3,2.002
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,5,0.919,45,30.7,1p,False,target,4.621,47.7,3.203
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,6,0.536,40,58.3,p1,True,target,1.618,41.3,2.736
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,7,0.578,35,43.2,1s,True,target,1.752,54.2,2.419
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,8,0.971,30,59.0,1p,False,distractor,1.868,45.0,2.519
MPW2000W,2024-12-16-10-03-39,12,dual,descending,False,9,0.639,25,65.0,2p,False,distractor,2.869,28.0,2.802
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,1,1.936,-65,-45.0,p2,True,target,3.336,-52.0,2.719
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,2,0.564,-60,-33.7,s1,False,distractor,1.868,-52.7,1.751
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,3,0.862,-55,-58.3,2s,True,target,2.469,-50.3,2.285
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,4,0.839,-50,-53.8,s2,False,distractor,3.47,-46.8,1.952
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,5,0.785,-45,-25.9,2p,False,distractor,2.085,-45.9,2.752
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,6,0.745,-40,-47.0,p2,True,target,2.435,-54.0,1.518
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,7,0.773,-35,-38.6,1p,False,distractor,1.618,-46.6,2.035
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,8,0.525,-30,-37.0,s2,False,distractor,1.635,-53.0,2.886
MPW2000W,2024-12-16-10-03-39,13,dual,ascending,True,9,0.884,-25,-32.4,p1,True,target,1.401,-44.4,2.686
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,1,1.742,25,63.3,2s,True,target,3.37,40.3,2.202
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,2,0.681,60,64.6,s1,False,distractor,1.635,59.6,1.718
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,3,0.547,45,44.9,1s,True,target,3.203,40.9,1.735
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,4,0.523,40,25.3,1s,True,target,2.369,48.3,2.936
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,5,0.948,30,61.6,1p,False,distractor,1.418,44.6,2.519
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,6,0.799,50,39.3,2p,False,distractor,3.57,51.3,3.136
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,7,0.975,35,54.6,p1,True,target,1.468,29.6,2.052
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,8,0.955,55,32.7,2s,True,target,1.518,47.7,2.585
MPW2000W,2024-12-16-10-03-39,14,dual,random,False,9,0.82,65,31.2,s2,False,distractor,6.038,41.2,2.802
MPW2000W,2024-12-16-10-03-39,15,single,random,True,1,1.677,-65,-26.5,p2,True,distractor,6.038,-64.5,4.137
MPW2000W,2024-12-16-10-03-39,15,single,random,True,2,0.696,-60,-56.5,s1,False,distractor,6.038,-63.5,1.501
MPW2000W,2024-12-16-10-03-39,15,single,random,True,3,0.707,-55,-61.8,2p,False,distractor,6.038,-54.8,1.335
MPW2000W,2024-12-16-10-03-39,15,single,random,True,4,0.629,-50,-43.6,1p,False,distractor,6.038,-51.6,1.818
MPW2000W,2024-12-16-10-03-39,15,single,random,True,5,0.98,-35,-46.3,p1,True,distractor,6.038,-52.3,1.718
MPW2000W,2024-12-16-10-03-39,15,single,random,True,6,0.591,-45,-55.4,p2,True,distractor,6.038,-46.4,2.636
MPW2000W,2024-12-16-10-03-39,15,single,random,True,7,0.933,-30,-60.2,2s,True,distractor,6.038,-42.2,3.553
MPW2000W,2024-12-16-10-03-39,15,single,random,True,8,0.827,-25,-31.6,s1,False,distractor,6.038,-26.6,1.051
MPW2000W,2024-12-16-10-03-39,15,single,random,True,9,0.984,-40,-43.7,s2,False,distractor,6.038,-58.7,2.519
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,1,1.576,25,62.2,1s,True,target,4.487,41.2,3.052
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,2,0.829,30,63.4,1s,True,target,2.686,40.4,2.469
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,3,0.651,35,26.5,p1,True,target,1.168,47.5,3.253
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,4,0.591,40,45.1,2p,False,distractor,2.135,57.1,4.971
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,5,0.597,45,46.4,s1,False,target,3.503,51.4,1.935
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,6,0.774,50,46.8,p2,True,target,2.435,42.8,2.335
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,7,0.839,55,50.6,s2,False,distractor,2.686,56.6,1.985
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,8,0.723,60,25.2,2s,True,target,2.202,46.2,3.319
MPW2000W,2024-12-16-10-03-39,16,dual,ascending,False,9,0.543,65,38.0,1p,False,distractor,1.368,50.0,2.619
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,1,1.853,-25,-42.2,p2,True,distractor,1.368,-34.2,2.452
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,2,0.886,-30,-42.8,p1,True,distractor,1.368,-51.8,2.319
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,3,0.531,-35,-46.1,s2,False,distractor,1.368,-38.1,1.868
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,4,0.548,-40,-51.6,1s,True,distractor,1.368,-47.6,1.551
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,5,0.577,-45,-31.3,1p,False,distractor,1.368,-52.3,2.319
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,6,0.907,-50,-36.4,s1,False,distractor,1.368,-53.4,1.902
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,7,0.952,-55,-62.9,2p,False,distractor,1.368,-58.9,2.219
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,8,0.832,-60,-37.4,2s,True,distractor,1.368,-62.4,3.103
MPW2000W,2024-12-16-10-03-39,17,single,descending,True,9,0.541,-65,-37.2,p2,True,distractor,1.368,-70.2,2.669
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,1,1.581,65,51.6,2p,False,distractor,2.586,55.6,2.152
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,2,0.632,60,63.0,p1,True,target,1.902,46.0,1.935
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,3,0.759,55,53.4,1s,True,target,1.435,35.4,2.035
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,4,0.689,50,41.2,s1,False,distractor,3.186,48.2,2.002
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,5,0.876,45,63.6,s2,False,distractor,0.918,38.6,2.235
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,6,0.967,40,64.5,2s,True,target,1.018,39.5,2.152
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,7,0.661,35,30.2,1p,False,target,1.685,38.2,1.835
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,8,0.646,30,49.8,2p,False,distractor,1.468,43.8,1.585
MPW2000W,2024-12-16-10-03-39,18,dual,descending,False,9,0.982,25,60.7,2s,True,target,0.934,43.7,1.802
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,1,1.557,-65,-47.5,s1,False,distractor,2.069,-53.5,1.484
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,2,0.894,-60,-45.5,p1,True,target,2.903,-50.5,2.469
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,3,0.525,-40,-51.7,p2,True,target,1.568,-45.7,2.018
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,4,0.95,-45,-58.0,1p,False,distractor,1.868,-53.0,2.969
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,5,0.727,-50,-49.8,s2,False,distractor,0.918,-45.8,2.135
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,6,0.841,-35,-41.6,1s,True,target,1.468,-47.6,2.602
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,7,0.892,-55,-30.8,p1,True,target,2.352,-42.8,2.369
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,8,0.813,-30,-62.4,p2,True,target,2.586,-44.4,2.702
MPW2000W,2024-12-16-10-03-39,19,dual,random,True,9,0.699,-25,-46.8,s2,False,distractor,0.884,-44.8,1.885
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,1,1.834,25,36.7,s1,False,distractor,0.884,41.7,1.885
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,2,0.575,30,34.0,2p,False,distractor,0.884,29.0,1.101
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,3,0.914,35,50.0,1s,True,distractor,0.884,33.0,2.035
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,4,0.579,40,55.9,1p,False,distractor,0.884,33.9,1.852
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,5,0.694,45,54.8,2s,True,distractor,0.884,36.8,1.568
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,6,0.607,50,35.4,p1,True,distractor,0.884,44.4,1.985
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,7,0.596,55,27.6,1p,False,distractor,0.884,50.6,2.969
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,8,0.568,60,45.2,s2,False,distractor,0.884,55.2,1.602
MPW2000W,2024-12-16-10-03-39,20,single,ascending,False,9,0.706,65,35.1,2s,True,distractor,0.884,62.1,3.32
MPW2000W,2024-12-16-10-03-39,21,single,descending,True,1,1.9,-25,-60.7,1s,True,distractor,0.884,-32.7,3.42
MPW2000W,2024-12-16-10-03-39,21,single,descending,True,2,0.63,-30,-34.0,p2,True,distractor,0.884,-26.0,1.185
MPW2000W,2024-12-16-10-03-39,21,single,descending,True,3,0.686,-35,-49.4,s1,False,distractor,0.884,-28.4,2.319
